מפקד האוכלוסין 2008,,חזרה להסברים על הקובץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלשכה המרכזית לסטטיסטיקה,,חזרה לאינדקס משתנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,תכונות גאוגרפיות ומשתנים דמוגרפיים ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בית אורן,317,1939,3,מחוז חיפה,32,נפת חדרה,322,אזור זכרון יעקב,223,"מטרופולין חיפה, טבעת פנימית, גזרה דרומית",330,קיבוץ,15,מועצה אזורית חוף הכרמל,4.0,1,יהודים,94.3,20.4,73.8,5.8,21.1,72.5,6.4,19.7,75.2,5.1,433.7,36.0,36.0,36.0,43.3,56.7,41.6,58.4,45.2,54.8,87.5,12.5,40.5,48.8,7.8,2.9,52.8,7.9,10.4,26.3,2.6
בית גוברין,619,1949,6,מחוז הדרום,61,נפת אשקלון,612,אזור לכיש,,ללא שיוך למטרופולין,330,קיבוץ,35,מועצה אזורית יואב,3.0,1,יהודים,97.7,29.6,64.4,5.9,29.9,62.7,7.5,29.4,66.1,4.5,987.3,24.0,24.0,24.0,44.3,55.7,45.9,54.1,42.7,57.3,90.5,9.5,17.7,55.7,20.2,6.5,55.0,6.2,10.0,20.6,8.2
בית העמק,572,1949,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",330,קיבוץ,4,מועצה אזורית מטה אשר,4.9,1,יהודים,94.6,21.7,56.5,21.7,22.3,58.5,19.2,21.2,54.6,24.1,886.2,38.0,35.0,41.0,47.4,52.6,51.3,48.7,43.8,56.2,63.7,36.3,20.3,35.3,34.3,10.1,33.8,2.7,2.9,50.5,10.1
בית הערבה,3645,1980,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,330,קיבוץ,74,מועצה אזורית מגילות ים-המלח,1.0,1,יהודים,98.0,43.8,56.2,,46.7,53.3,,40.9,59.1,,780.4,28.0,27.0,28.0,76.1,23.9,71.9,28.1,80.0,20.0,83.3,16.7,,24.0,65.0,11.0,41.5,11.1,12.4,24.4,10.6
בית חלקיה,2033,1953,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",310,מושב,31,מועצה אזורית נחל שורק,4.5,1,יהודים,100.0,48.8,44.3,7.0,48.8,43.7,7.5,48.7,44.8,6.4,1479.7,18.0,18.0,18.0,66.3,33.7,70.3,29.7,62.7,37.3,86.4,13.6,51.2,35.3,12.0,1.5,61.2,1.2,1.9,24.5,11.2
בית יוסף,265,1937,2,מחוז הצפון,23,נפת יזרעאל,231,עמק בית שאן,,ללא שיוך למטרופולין,310,מושב,7,מועצה אזורית עמק המעיינות,4.2,1,יהודים,100.0,35.9,54.7,9.4,37.3,55.6,7.1,34.4,53.6,12.0,920.3,31.0,29.0,34.0,58.8,41.2,56.8,43.2,61.1,38.9,83.7,16.3,77.7,21.3,1.0,,42.8,50.2,5.0,1.9,
בית ינאי,200,1933,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,3.4,1,יהודים,100.0,26.2,62.8,11.0,27.5,61.2,11.3,24.8,64.6,10.6,675.0,33.0,32.0,35.0,49.3,50.7,47.1,52.9,51.7,48.3,86.7,13.3,37.6,32.8,19.4,10.1,53.7,3.8,5.4,26.0,11.0
בית ניר,16,1955,6,מחוז הדרום,61,נפת אשקלון,612,אזור לכיש,,ללא שיוך למטרופולין,330,קיבוץ,35,מועצה אזורית יואב,2.8,1,יהודים,96.4,32.3,53.6,14.2,30.1,52.9,17.0,34.3,54.2,11.5,942.9,35.0,36.0,33.0,59.5,40.5,57.9,42.1,61.3,38.7,87.9,12.1,56.3,20.8,19.9,3.0,49.0,4.4,7.6,35.1,3.9
בית עובד,202,1933,4,מחוז המרכז,44,נפת רחובות,442,אזור ראשון לציון,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",310,מושב,27,מועצה אזורית גן רווה,2.9,1,יהודים,100.0,21.4,60.9,17.6,24.1,56.7,19.2,18.8,65.1,16.1,717.4,37.0,37.0,37.0,64.7,35.3,67.9,32.1,61.7,38.3,88.7,11.3,69.3,19.8,8.8,2.2,48.3,6.8,9.7,34.4,0.8
בית קשת,365,1944,2,מחוז הצפון,22,נפת כנרת,222,גליל תחתון מזרחי,,ללא שיוך למטרופולין,330,קיבוץ,3,מועצה אזורית הגליל התחתון,3.6,1,יהודים,94.4,29.9,50.0,20.0,33.1,51.1,15.9,27.2,49.1,23.7,1093.4,35.0,33.0,37.0,52.3,47.7,58.4,41.6,47.4,52.6,67.0,33.0,27.4,50.1,10.5,11.9,35.8,4.8,11.8,22.0,25.5
בית רימון,1162,1977,2,מחוז הצפון,23,נפת יזרעאל,237,הרי נצרת-תירען,,ללא שיוך למטרופולין,330,קיבוץ,3,מועצה אזורית הגליל התחתון,3.7,1,יהודים,100.0,44.5,54.9,0.5,37.8,61.3,0.9,53.8,46.2,,1672.2,18.0,18.0,15.0,51.4,48.6,42.1,57.9,66.6,33.4,85.1,14.9,5.4,53.5,28.0,13.1,54.4,2.6,8.5,25.4,9.1
ביתן אהרן,252,1936,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,4.3,1,יהודים,99.0,7.4,19.2,73.4,9.7,25.9,64.3,5.9,15.1,78.9,4410.3,79.0,79.0,79.0,46.1,53.9,61.8,38.2,36.9,63.1,43.3,56.7,89.7,6.1,3.8,0.4,19.5,3.1,2.6,70.4,4.4
בלפוריה,94,1922,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,9,מועצה אזורית עמק יזרעאל,3.0,1,יהודים,99.2,28.5,58.2,13.2,27.3,59.2,13.5,29.7,57.3,13.0,744.1,33.0,33.0,32.0,64.4,35.6,66.9,33.1,62.1,37.9,87.6,12.4,58.4,23.9,8.2,9.5,52.5,5.4,8.1,30.1,3.8
בני דרום,592,1949,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",320,מושב שיתופי,29,מועצה אזורית חבל יבנה,4.9,1,יהודים,100.0,37.1,50.3,12.6,35.8,51.8,12.4,38.4,48.7,12.9,1134.7,26.0,25.0,28.0,71.5,28.5,68.4,31.6,74.8,25.2,87.5,12.5,52.3,45.5,2.2,,57.6,9.7,7.9,19.6,5.3
בצת,589,1949,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,,ללא שיוך למטרופולין,310,מושב,4,מועצה אזורית מטה אשר,2.6,1,יהודים,96.4,19.4,65.2,15.4,17.6,68.8,13.6,21.1,61.9,17.1,567.8,41.0,39.0,42.0,58.7,41.3,60.5,39.5,57.0,43.0,72.2,27.8,76.9,17.2,3.0,3.0,32.1,5.5,12.2,44.1,6.1
בקעות,3612,1972,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,310,מושב,75,מועצה אזורית ערבות הירדן,1.6,1,יהודים,98.4,28.8,69.2,2.0,32.0,64.2,3.8,25.3,74.7,,469.6,33.0,32.0,33.0,60.8,39.2,63.0,37.0,58.7,41.3,83.1,16.9,71.2,28.8,,,44.3,12.9,13.7,26.1,3.1
ברוש,2060,1953,6,מחוז הדרום,62,נפת באר שבע,621,אזור גרר,324,"מטרופולין באר שבע, טבעת פנימית, גזרה מערבית",310,מושב,41,מועצה אזורית בני שמעון,2.6,1,יהודים,100.0,31.3,57.3,11.4,29.8,59.9,10.3,32.7,54.8,12.5,783.8,30.0,30.0,31.0,62.1,37.9,62.6,37.4,61.7,38.3,75.5,24.5,86.7,11.6,,1.7,32.2,4.0,60.7,2.3,0.8
ברק,141,1956,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,8,מועצה אזורית הגלבוע,3.5,1,יהודים,99.7,30.5,56.2,13.3,32.5,52.5,15.0,28.3,60.2,11.5,852.2,33.0,32.0,34.0,66.3,33.7,64.1,35.9,68.6,31.4,72.6,27.4,78.4,14.0,2.5,5.1,34.5,5.0,47.2,10.5,2.9
ברקאי,617,1949,3,מחוז חיפה,32,נפת חדרה,324,אזור חדרה,,ללא שיוך למטרופולין,330,קיבוץ,14,מועצה אזורית מנשה,3.8,1,יהודים,96.3,23.8,55.0,21.2,25.1,57.7,17.1,22.5,52.4,25.1,863.1,41.0,38.0,43.0,53.7,46.3,55.5,44.5,52.0,48.0,70.6,29.4,53.2,38.6,5.9,2.2,33.8,7.4,10.6,23.8,24.4
בת הדר,1323,1995,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,36,מועצה אזורית חוף אשקלון,4.8,1,יהודים,99.2,35.2,63.0,1.8,41.1,57.3,1.7,28.5,69.6,1.9,738.1,25.0,22.0,30.0,56.6,43.4,54.9,45.1,58.3,41.7,89.5,10.5,38.5,54.5,5.2,1.9,47.7,11.5,26.3,10.9,3.6
בת חן,1361,1967,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",350,יישוב כפרי אחר יהודי,16,מועצה אזורית עמק חפר,4.2,1,יהודים,99.8,30.6,60.9,8.5,33.6,58.1,8.3,27.6,63.6,8.8,701.5,32.0,30.0,33.0,62.6,37.4,67.6,32.4,58.4,41.6,86.7,13.3,47.6,26.8,9.3,16.3,53.0,6.8,10.5,26.4,3.3
בת שלמה,33,1889,3,מחוז חיפה,32,נפת חדרה,322,אזור זכרון יעקב,243,"מטרופולין חיפה, טבעת חיצונית, גזרה דרומית",310,מושב,15,מועצה אזורית חוף הכרמל,4.5,1,יהודים,98.7,33.0,62.0,5.0,34.3,62.7,3.0,31.5,61.2,7.3,684.2,29.0,29.0,33.0,51.1,48.9,48.7,51.3,53.8,46.2,85.6,14.4,51.2,23.4,8.9,16.5,54.3,9.1,6.0,25.9,4.7
גאולי תימן,872,1947,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,3.4,1,יהודים,81.6,22.7,63.9,13.4,22.9,66.8,10.3,22.4,60.9,16.7,605.9,34.0,34.0,34.0,56.8,43.2,53.7,46.3,60.0,40.0,81.9,18.1,88.9,9.2,1.9,,41.7,52.3,4.3,1.3,0.3
גבולות,352,1943,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",330,קיבוץ,38,מועצה אזורית אשכול,2.6,1,יהודים,93.1,26.7,63.1,10.2,29.2,59.9,10.9,24.1,66.5,9.4,675.9,32.0,30.0,34.0,50.3,49.7,48.3,51.7,52.4,47.6,74.3,25.7,34.0,37.4,26.9,1.8,26.7,3.4,10.7,32.0,27.2
גבים,424,1947,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",330,קיבוץ,37,מועצה אזורית שער הנגב,3.6,1,יהודים,98.8,29.6,56.6,13.8,28.2,58.1,13.7,30.9,55.2,13.9,904.3,32.0,32.0,31.0,53.9,46.1,55.4,44.6,52.5,47.5,90.0,10.0,49.0,38.1,12.9,,56.5,6.7,9.4,21.5,5.8
גבעולים,2014,1952,6,מחוז הדרום,62,נפת באר שבע,621,אזור גרר,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",310,מושב,39,מועצה אזורית שדות נגב,2.6,1,יהודים,100.0,33.6,58.8,7.6,30.4,62.0,7.6,36.8,55.6,7.6,769.6,29.0,29.0,28.0,61.6,38.4,58.7,41.3,64.7,35.3,86.6,13.4,93.2,6.8,,,46.3,38.0,15.0,0.7,
גבעות בר,1344,2004,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,321,"מטרופולין באר שבע, טבעת פנימית, גזרה צפונית",370,יישוב קהילתי,41,מועצה אזורית בני שמעון,2.4,1,יהודים,100.0,52.6,46.9,0.5,52.6,47.4,,52.7,46.3,1.0,1180.3,13.0,14.0,11.0,90.8,9.2,89.9,10.1,91.8,8.2,92.8,7.2,6.8,51.9,34.2,7.0,59.2,7.9,18.7,7.0,7.1
"גבעת ח""ן",207,1933,4,מחוז המרכז,42,נפת פתח תקווה,421,דרום השרון,131,"מטרופולין תל אביב, טבעת תיכונה, גזרה צפונית",310,מושב,20,מועצה אזורית דרום השרון,3.5,1,יהודים,99.5,23.7,63.1,13.2,24.9,63.0,12.1,22.5,63.2,14.3,684.4,35.0,34.0,37.0,58.7,41.3,62.0,38.0,55.7,44.3,89.0,11.0,56.9,19.0,14.5,9.7,55.0,5.0,5.2,30.6,4.2
גבעת עוז,703,1949,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,330,קיבוץ,13,מועצה אזורית מגידו,4.6,1,יהודים,97.1,22.7,55.5,21.8,22.1,57.2,20.6,23.3,53.6,23.1,861.5,34.0,34.0,35.0,49.3,50.7,46.8,53.2,51.9,48.1,66.1,33.9,42.2,39.1,15.4,3.2,36.1,5.5,7.1,21.2,30.1
גבעת שפירא,1077,1958,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,2.9,1,יהודים,100.0,34.4,57.9,7.6,35.1,56.8,8.1,33.8,59.0,7.1,823.6,33.0,33.0,35.0,71.6,28.4,71.9,28.1,71.4,28.6,87.3,12.7,28.5,38.5,20.0,13.0,59.6,5.0,9.9,22.2,3.3
גברעם,342,1942,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,,ללא שיוך למטרופולין,330,קיבוץ,36,מועצה אזורית חוף אשקלון,3.3,1,יהודים,96.1,27.2,62.2,10.6,31.1,61.4,7.5,23.0,63.1,14.0,659.9,31.0,30.0,32.0,51.3,48.7,51.3,48.7,51.3,48.7,77.6,22.4,45.4,28.0,22.3,4.3,43.5,7.5,8.5,29.7,10.8
גדות,35,1949,2,מחוז הצפון,21,נפת צפת,213,אזור חצור,,ללא שיוך למטרופולין,330,קיבוץ,1,מועצה אזורית הגליל העליון,4.0,1,יהודים,88.9,19.7,65.7,14.5,23.5,63.3,13.2,15.6,68.4,16.0,598.8,35.0,32.0,39.0,43.8,56.2,44.1,55.9,43.5,56.5,78.6,21.4,30.2,38.4,11.6,19.8,41.3,6.4,6.4,37.1,8.8
גדיש,145,1956,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,8,מועצה אזורית הגלבוע,4.0,1,יהודים,100.0,31.4,51.4,17.1,30.9,53.5,15.6,32.0,49.2,18.8,1055.0,36.0,37.0,34.0,53.2,46.8,51.6,48.4,55.0,45.0,73.8,26.2,80.8,5.3,2.1,11.8,36.5,6.1,56.0,1.1,0.3
גדעונה,442,1949,2,מחוז הצפון,23,נפת יזרעאל,232,עמק חרוד,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,8,מועצה אזורית הגלבוע,2.1,1,יהודים,100.0,29.7,64.1,6.2,29.6,62.9,7.5,29.8,65.4,4.9,703.0,30.0,28.0,32.0,50.5,49.5,47.7,52.3,53.5,46.5,85.4,14.6,71.7,13.0,11.5,3.7,44.4,29.4,19.8,6.0,0.5
גונן,852,1951,2,מחוז הצפון,21,נפת צפת,211,עמק חולה,,ללא שיוך למטרופולין,330,קיבוץ,1,מועצה אזורית הגליל העליון,3.3,1,יהודים,94.5,26.2,63.2,10.6,28.9,59.5,11.6,23.4,67.0,9.6,626.3,33.0,32.0,33.0,55.7,44.3,59.8,40.2,52.0,48.0,86.3,13.7,32.8,36.5,7.8,22.9,48.3,4.5,8.7,31.8,6.7
גורן,755,1950,2,מחוז הצפון,24,נפת עכו,244,אזור אילון,,ללא שיוך למטרופולין,310,מושב,52,מועצה אזורית מעלה יוסף,4.5,1,יהודים,97.2,26.9,64.5,8.5,25.5,66.4,8.1,28.7,62.2,9.0,614.4,32.0,31.0,33.0,59.2,40.8,52.3,47.7,67.8,32.2,84.1,15.9,92.2,7.8,,,42.1,2.6,53.7,1.4,0.2
גורנות הגליל,1219,1980,2,מחוז הצפון,24,נפת עכו,244,אזור אילון,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,52,מועצה אזורית מעלה יוסף,1.8,1,יהודים,97.8,21.2,77.8,1.1,19.8,79.2,1.1,22.6,76.3,1.1,452.2,27.0,27.0,25.0,41.1,58.9,40.6,59.4,41.6,58.4,87.4,12.6,56.4,34.7,8.8,,43.6,11.4,30.4,13.5,1.1
גזר,370,1945,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",330,קיבוץ,30,מועצה אזורית גזר,2.7,1,יהודים,97.2,33.4,65.9,0.7,32.8,65.8,1.4,34.0,66.0,,605.2,27.0,26.0,27.0,56.9,43.1,58.0,42.0,55.8,44.2,71.6,28.4,2.4,62.7,29.3,5.7,30.2,8.7,11.1,17.8,32.1
גיבתון,196,1933,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",350,יישוב כפרי אחר יהודי,28,מועצה אזורית ברנר,2.8,1,יהודים,98.4,22.9,63.8,13.3,23.7,64.1,12.2,22.1,63.5,14.3,592.8,34.0,32.0,35.0,62.0,38.0,59.3,40.7,64.9,35.1,88.0,12.0,64.8,17.6,17.6,,48.5,6.9,5.1,36.6,3.0
גיזו,1043,1968,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,26,מועצה אזורית מטה יהודה,1.9,1,יהודים,100.0,38.2,59.5,2.3,36.8,61.0,2.3,39.7,57.9,2.4,758.1,29.0,28.0,29.0,67.7,32.3,66.6,33.4,68.8,31.2,87.5,12.5,59.9,18.4,17.6,4.1,48.2,15.5,15.5,14.0,6.8
גינוסר,262,1937,2,מחוז הצפון,22,נפת כנרת,221,כינרות,,ללא שיוך למטרופולין,330,קיבוץ,6,מועצה אזורית עמק הירדן,4.6,1,יהודים,97.3,20.2,60.9,18.9,17.0,64.1,18.9,23.2,58.0,18.8,686.7,39.0,39.0,38.0,47.7,52.3,48.6,51.4,46.8,53.2,77.2,22.8,63.3,16.2,11.7,8.8,44.7,7.2,8.0,34.9,5.2
גיניגר,92,1922,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,330,קיבוץ,9,מועצה אזורית עמק יזרעאל,4.8,1,יהודים,96.8,19.0,63.0,18.1,21.9,62.9,15.2,16.1,63.0,20.9,635.8,38.0,35.0,41.0,50.3,49.7,52.4,47.6,48.4,51.6,75.2,24.8,33.3,25.3,29.0,12.4,42.4,2.5,5.3,41.5,8.3
גיתה,1206,1980,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,370,יישוב קהילתי,52,מועצה אזורית מעלה יוסף,2.3,1,יהודים,89.0,31.8,64.6,3.6,37.3,59.4,3.2,24.5,71.3,4.2,603.6,35.0,29.0,38.0,69.5,30.5,66.3,33.7,73.1,26.9,60.2,39.8,1.3,9.7,87.4,1.6,28.1,3.1,8.1,54.9,5.9
גיתית,3613,1973,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,310,מושב,75,מועצה אזורית ערבות הירדן,2.4,1,יהודים,99.5,42.6,56.0,1.4,43.2,55.9,0.9,42.0,56.1,1.9,829.3,24.0,23.0,25.0,71.5,28.5,70.9,29.1,72.2,27.8,91.7,8.3,32.8,37.4,24.7,5.1,68.2,8.0,4.5,13.0,6.3
גלאון,393,1946,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,330,קיבוץ,35,מועצה אזורית יואב,3.0,1,יהודים,92.7,20.7,59.7,19.6,20.1,61.1,18.8,21.2,58.5,20.4,717.2,42.0,43.0,42.0,57.1,42.9,59.7,40.3,54.7,45.3,70.1,29.9,55.4,35.2,8.4,1.0,30.6,2.9,7.5,36.9,22.0
גלגל,3606,1970,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,330,קיבוץ,75,מועצה אזורית ערבות הירדן,1.7,1,יהודים,96.7,31.8,64.8,3.4,32.3,64.6,3.1,31.5,65.0,3.6,632.3,24.0,26.0,23.0,45.0,55.0,49.1,50.9,41.6,58.4,86.0,14.0,14.8,24.7,60.4,,53.6,7.4,11.6,11.7,15.8
גליל ים,346,1943,5,מחוז תל אביב,51,נפת תל אביב,511,אזור תל אביב,121,"מטרופולין תל אביב, טבעת פנימית, גזרה צפונית",330,קיבוץ,19,מועצה אזורית חוף השרון,3.7,1,יהודים,98.5,19.6,66.6,13.8,20.0,64.2,15.8,19.3,68.8,11.9,583.4,32.0,33.0,32.0,47.3,52.7,49.0,51.0,45.6,54.4,85.1,14.9,61.5,34.9,3.6,,50.0,7.6,8.9,27.0,6.6
גלעד (אבן יצחק),369,1945,2,מחוז הצפון,23,נפת יזרעאל,236,רמת מנשה,,ללא שיוך למטרופולין,330,קיבוץ,13,מועצה אזורית מגידו,4.0,1,יהודים,97.7,20.3,70.8,8.9,23.5,70.7,5.8,16.9,70.9,12.2,447.1,32.0,29.0,36.0,46.8,53.2,46.5,53.5,47.1,52.9,77.3,22.7,33.3,43.4,23.2,,45.2,3.2,8.2,30.3,13.2
גן הדרום,1072,1953,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",310,מושב,32,מועצה אזורית גדרות,4.6,1,יהודים,98.9,25.2,62.7,12.1,26.0,62.5,11.5,24.4,62.9,12.7,631.1,32.0,32.0,32.0,58.2,41.8,59.0,41.0,57.4,42.6,81.8,18.2,80.7,18.1,1.2,,36.7,40.4,11.9,10.6,0.5
גן שלמה,144,1927,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",330,קיבוץ,28,מועצה אזורית ברנר,4.4,1,יהודים,94.4,24.7,64.3,11.1,23.8,65.9,10.3,25.4,62.7,11.9,604.2,33.0,34.0,33.0,61.1,38.9,62.5,37.5,59.8,40.2,86.6,13.4,51.7,34.4,8.2,5.7,55.6,5.3,5.0,26.3,7.9
גני הדר,1103,1958,4,מחוז המרכז,43,נפת רמלה,432,אזור רמלה,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",350,יישוב כפרי אחר יהודי,30,מועצה אזורית גזר,2.5,1,יהודים,98.8,32.6,58.7,8.7,31.0,58.8,10.2,34.1,58.6,7.3,816.0,29.0,29.0,29.0,59.2,40.8,62.7,37.3,56.0,44.0,87.9,12.1,41.0,55.7,3.4,,54.6,2.7,9.1,28.8,4.8
גני עם,218,1934,4,מחוז המרכז,42,נפת פתח תקווה,421,דרום השרון,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",350,יישוב כפרי אחר יהודי,20,מועצה אזורית דרום השרון,2.1,1,יהודים,100.0,23.8,60.1,16.0,22.4,62.3,15.3,25.4,57.7,16.8,674.3,41.0,40.0,41.0,62.9,37.1,61.1,38.9,64.8,35.2,84.7,15.3,55.2,22.4,17.0,5.5,50.1,5.2,4.0,39.0,1.7
געתון,463,1948,2,מחוז הצפון,24,נפת עכו,243,אזור יחיעם,,ללא שיוך למטרופולין,330,קיבוץ,4,מועצה אזורית מטה אשר,4.6,1,יהודים,98.4,17.4,69.8,12.8,18.1,69.8,12.2,16.7,69.8,13.5,538.8,29.0,28.0,29.0,40.9,59.1,40.3,59.7,41.4,58.6,76.4,23.6,43.4,39.0,14.8,2.7,37.2,3.2,7.8,24.9,26.8
גפן,39,1955,1,מחוז ירושלים,11,נפת ירושלים,112,שפלת יהודה,,ללא שיוך למטרופולין,310,מושב,26,מועצה אזורית מטה יהודה,3.3,1,יהודים,99.7,28.3,59.2,12.4,28.0,61.2,10.8,28.7,57.0,14.3,777.8,33.0,33.0,33.0,57.2,42.8,54.2,45.8,60.6,39.4,77.4,22.6,86.7,10.5,2.8,,33.1,2.9,62.4,1.6,
גרופית,1129,1963,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,330,קיבוץ,53,מועצה אזורית חבל אילות,2.9,1,יהודים,95.0,29.7,68.9,1.4,30.0,68.7,1.2,29.4,69.1,1.6,527.6,28.0,31.0,27.0,51.2,48.8,54.9,45.1,47.9,52.1,82.4,17.6,8.5,60.0,17.9,13.6,45.3,8.8,12.1,18.8,14.9
גשור,4022,1971,2,מחוז הצפון,29,נפת גולן,294,גולן דרומי,,ללא שיוך למטרופולין,330,קיבוץ,71,מועצה אזורית גולן,2.1,1,יהודים,98.6,34.9,65.1,,31.4,68.6,,38.3,61.7,,664.6,28.0,28.0,26.0,40.1,59.9,38.0,62.0,42.4,57.6,89.3,10.7,,46.7,40.5,12.8,53.3,9.3,11.4,19.3,6.7
גשר,305,1939,2,מחוז הצפון,22,נפת כנרת,221,כינרות,,ללא שיוך למטרופולין,330,קיבוץ,7,מועצה אזורית עמק המעיינות,5.0,1,יהודים,95.6,24.9,59.8,15.2,28.9,59.3,11.8,21.4,60.4,18.2,794.4,32.0,27.0,34.0,45.7,54.3,50.8,49.2,41.6,58.4,76.8,23.2,42.8,29.7,17.1,10.4,47.7,6.2,3.6,35.3,7.2
גת רימון,128,1926,4,מחוז המרכז,42,נפת פתח תקווה,422,אזור פתח תקווה,132,"מטרופולין תל אביב, טבעת תיכונה, גזרה מזרחית",350,יישוב כפרי אחר יהודי,20,מועצה אזורית דרום השרון,2.6,1,יהודים,98.7,23.3,60.8,15.9,24.8,57.5,17.7,21.6,64.3,14.0,734.0,36.0,34.0,36.0,66.1,33.9,63.4,36.6,68.9,31.1,86.4,13.6,77.9,12.5,9.6,,48.2,12.5,8.6,30.3,0.4
דבורה,146,1956,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,310,מושב,8,מועצה אזורית הגלבוע,2.1,1,יהודים,100.0,17.7,62.1,20.2,14.8,66.9,18.3,20.2,57.9,21.8,670.3,39.0,40.0,39.0,66.2,33.8,68.9,31.1,63.8,36.2,67.1,32.9,88.1,6.9,5.0,,28.4,3.1,58.8,9.4,0.3
דבירה,849,1951,6,מחוז הדרום,62,נפת באר שבע,623,אזור באר שבע,321,"מטרופולין באר שבע, טבעת פנימית, גזרה צפונית",330,קיבוץ,41,מועצה אזורית בני שמעון,4.3,1,יהודים,95.8,28.4,60.7,10.9,25.5,62.8,11.7,31.2,58.7,10.1,797.5,29.0,29.0,28.0,46.2,53.8,46.4,53.6,45.9,54.1,84.6,15.4,44.7,36.6,17.2,1.6,43.0,7.3,9.7,25.7,14.4
